Client ID,Name,Legal Name,Start Date,Street #,Street Name,State,Zip,Lat,Lon,Accuracy,Category
1795,T-Bones,T-Bones Inc,5/4/1985,100,Vip Dr / Suite #101,PA,15090,40.616651,-80.09284,9,Supermarket
39139,The Fresh Market,The Fresh Market Inc.,7/3/2013,1551,Washington Rd,PA,15228,40.355489,-80.050351,8,Supermarket
201306280008,Two Louie's Market,Two Louie's Market Inc,4/21/2008,1233,Penn Av,PA,15222,40.446442,-79.991746,9,Supermarket
200804240004,WFH / Wing Fat Hong Oriental Food Market,WFH Market LLC,11/20/2014,2306,Penn Av,PA,15222,40.452797,-79.981077,9,Supermarket
201411210003,Bombay Market,,1/5/2015,4605,Centre Av,PA,15213,40.452129,-79.951792,9,Supermarket
201501050001,Brownsville Food & Drinks,,6/19/2015,1810,Brownsville Rd,PA,15210,40.396851,-79.988112,9,Supermarket
201506250005,Community Super Market,,1/1/1970,1117,Milltown Rd,PA,15147,40.498635,-79.790045,8,Supermarket
262,Coraopolis Cash Market,,10/1/1952,1017,4th Ave,PA,15108,40.518306,-80.162798,9,Supermarket
34765,Gorkhali Store,,5/19/2014,2116,Brownsville Rd,PA,15210,40.392709,-79.987056,9,Supermarket
201406020003,Patsy's Market,,8/16/2000,483,Center Av,PA,15147,40.50669,-79.839699,9,Supermarket
200008180001,Safrans Market,,6/17/1984,429,Walnut St,PA,15143,40.541022,-80.182322,9,Supermarket
30265,Subha Laxmi Grocery,,5/21/2014,2950,Brownsville Rd,PA,15227,40.381398,-79.976585,9,Supermarket
201406020006,Community Market,,11/7/2002,1710,Pacific Av,PA,15065,40.623319,-79.723879,8,Supermarket
200211120002,GFS Marketplace,,10/14/2007,1,Urbano Wa,PA,15205,40.44177,-80.087015,3,Supermarket
200710160002,Leonard Labriola Foods,,4/1/1969,121,Hulton Rd,PA,15147,40.484477,-79.81999,9,Supermarket
253,Aldi #69,Aldi Inc,11/5/2007,8000,Mcknight Rd,PA,15237,40.551152,-80.021213,9,Supermarket
200711090001,Aldi #77,Aldi Inc,10/6/2011,11800,Perry Hi,PA,15090,40.39721,-77.025796,5,Supermarket
201110130006,Aldi #79,Aldi Inc,10/23/2012,2628,Carson St,PA,15203,40.426914,-79.96753,9,Supermarket
201210250002,Aldi #80,Aldi Inc,5/8/2013,5631,Baum Blvd,PA,15213,40.458291,-79.935066,9,Supermarket
201304250008,Wal-Mart #2603,Wal-Mart Stores Inc,1/14/2000,300,Wal-Mart Dr,PA,15044,40.623006,-79.946578,9,Supermarket
200001280001,Wal-Mart #5040,Wal-Mart Stores Inc,2/19/2008,2200,Washington Pi,PA,15106,40.173242,-80.24199,9,Supermarket
200802270004,Wal-Mart #5339,Wal-Mart Stores Inc,10/20/2003,877,Freeport Rd,PA,15238,40.488181,-79.888875,9,Supermarket
200310290007,,,,,,,,,,,
